i love sandwitch,pos
this is an amazing place,pos
i feel very good about these beers,pos
this is my best work,pos
what an awesome view,pos
i do not like this restraunt,neg
i am tired of this stuff,neg
i can't deal with this,neg
he is my sworn enemy,neg
my boss is horrible,neg
this is an awesome place,pos
i do not like the taste of this juice,neg
i love to dance,pos
i am sick and tired of this place,neg
what a great holiday,pos
that is bad locality to stay,neg
we will have good fun tommorrow,pos
i went to my enemy's house today,neg